"code","LOCAL_MAIN","name","LOCAL_SUB_ENG","BASE_YEAR","ARCS"
"28245","인천광역시","계양구","Gyeyang-gu","2013","[2508,-2294,2509,-2504,-2197]"
"28237","인천광역시","부평구","Bupyeong-gu","2013","[-2510,-2293,-2300,-2297,2510,2511,-2505]"
"28200","인천광역시","남동구","Namdong-gu","2013","[-2243,2512,2513,2514,-2511,-2296]"
"28185","인천광역시","연수구","Yeonsu-gu","2013","[-2514,2515,2516,2517]"
"28170","인천광역시","남구","Nam-gu","2013","[-2506,-2512,-2515,-2518,2518,2519]"
"28140","인천광역시","동구","Dong-gu","2013","[[2520]],[[-2520,2521,2522,-2507]]"
"28110","인천광역시","중구","Jung-gu","2013","[[2523]],[[2524]],[[2525]],[[2526]],[[2527]],[[2528]],[[2529]],[[2530]],[[-2522,-2519,-2517,2531]],[[2532]],[[2533]],[[2534]],[[2535]],[[2536]],[[2537]],[[2538]],[[2539]],[[2540]]"
"29200","광주광역시","광산구","Gwangsan-gu","2013","[2348,2349,2350,-1492,-1212,-1161]"
"29170","광주광역시","북구","Buk-gu","2013","[-1485,-1339,2351,2352,-2349,-1160]"
"29155","광주광역시","남구","Nam-gu","2013","[2353,-1337,-1493,-2351,2354]"
"29140","광주광역시","서구","Seo-gu","2013","[-2353,2355,-2355,-2350]"
"29110","광주광역시","동구","Dong-gu","2013","[-2356,-2352,-1338,-2354]"
"30230","대전광역시","대덕구","Daedeok-gu","2013","[2341,2342,2343,2344,-2046]"
"30200","대전광역시","유성구","Yuseong-gu","2013","[-2345,2345,-1931,-2014,-2319,-2047]"
"30170","대전광역시","서구","Seo-gu","2013","[-2344,2346,-1914,-1935,-1932,-2346]"
"30140","대전광역시","중구","Jung-gu","2013","[-2343,2347,-1909,-2347]"
"26710","부산광역시","기장군","Gijang-gun","2013","[-2324,2565,2566,2567,-270]"
"26530","부산광역시","사상구","Sasang-gu","2013","[2568,2569,2570,2571,2572,2573,2574]"
"26500","부산광역시","수영구","Suyeong-gu","2013","[2575,2576,2577,2578,2579,2580,2581]"
"26470","부산광역시","연제구","Yeonje-gu","2013","[-2581,2582,2583,2584]"
"26440","부산광역시","강서구","Gangseo-gu","2013","[-2574,2585,2586,-231,-322,2587]"
"26410","부산광역시","금정구","Geumjeong-gu","2013","[-271,-2568,2588,2589,2590]"
"26380","부산광역시","사하구","Saha-gu","2013","[[2591]],[[2592]],[[2593]],[[2594]],[[2595,-2571,2596,2597,-2586,-2573]]"
"26350","부산광역시","해운대구","Haeundae-gu","2013","[-2589,-2567,2598,-2578,2599,-2576,2600]"
